temp,humidity,wind,rainfall,radiation,date
31.09,10,2.34,0,24,5/10/2026 0:00
28.69,11,1.46,0,24.5,5/10/2026 3:00
27.97,11,1.85,0,24.75,5/10/2026 6:00
34.54,7,0.93,0,23.75,5/10/2026 9:00
39.21,5,3.57,0,23.5,5/10/2026 12:00
40.64,4,5.13,0,23.5,5/10/2026 15:00
35.55,6,4.13,0,24,5/10/2026 18:00
32.06,8,3.66,0,25,5/10/2026 21:00
28.55,10,1.66,0,24.5,5/11/2026 0:00
25.79,27,4.16,0,23.75,5/11/2026 3:00
25.14,58,2.97,0,24.25,5/11/2026 6:00
33.09,32,2.03,0,25,5/11/2026 9:00
39.47,11,3.79,0,25,5/11/2026 12:00
40.68,6,5.81,0,25,5/11/2026 15:00
34.96,7,2.46,0,25,5/11/2026 18:00
31.63,9,1.11,0,25,5/11/2026 21:00
30.41,10,1.79,0,25,5/12/2026 0:00
26.44,26,4.25,0,25,5/12/2026 3:00
25.78,51,4.01,0,25,5/12/2026 6:00
34.02,32,3.67,0,25,5/12/2026 9:00
40.16,10,4.42,0,25,5/12/2026 12:00
41.14,6,4.83,0,25,5/12/2026 15:00
35.7,7,2.91,0,25,5/12/2026 18:00
31.42,9,0.76,0,25,5/12/2026 21:00
31.5,9,2.09,0,24.75,5/13/2026 0:00
27.07,28,4.42,0,23.75,5/13/2026 3:00
26.09,52,4.39,0,24.25,5/13/2026 6:00
34.54,30,3.52,0,24.5,5/13/2026 9:00
40.05,11,2.45,0,19.5,5/13/2026 12:00
41.57,7,3.65,0,24.5,5/13/2026 15:00
36.38,9,2.98,0,24.75,5/13/2026 18:00
31.73,9,1.94,0,25,5/13/2026 21:00
30.42,10,5.36,0,23.5,5/14/2026 0:00
27.5,48,5.07,0,14.75,5/14/2026 3:00
25.98,59,4.34,0,17.5,5/14/2026 6:00
34.31,35,6.04,0,19.5,5/14/2026 9:00
40.09,14,1.03,0,21.25,5/14/2026 12:00
41.2,9,2.52,0,24,5/14/2026 15:00
36.7,10,3.26,0,23.75,5/14/2026 18:00
32.17,12,1.14,0,24,5/14/2026 21:00
